music_id,ymd,price_high,price_low,price_close,pct_price_change,cnt_units_traded
21,2022-03-14,64500,61100,61100,-3.6,11
21,2022-03-15,62400,58400,62400,2.1,21
21,2022-03-16,59900,57400,59500,-4.6,8
21,2022-03-17,60300,58000,58500,-1.7,7
21,2022-03-18,59900,59500,59500,1.7,3
21,2022-03-19,60000,58100,58100,-2.4,7
21,2022-03-20,59000,58000,58000,-0.2,4
21,2022-03-21,59600,57500,59000,1.7,16
21,2022-03-22,58500,55000,55000,-6.8,13
21,2022-03-23,58200,55000,55000,0.0,7
21,2022-03-24,58000,55000,58000,5.5,5
21,2022-03-25,60400,58000,59800,3.1,20
21,2022-03-26,59800,58500,59800,0.0,11
21,2022-03-27,60900,59000,59000,-1.3,8
21,2022-03-28,61500,59100,60000,1.7,3
21,2022-03-29,60200,59100,59100,-1.5,8
21,2022-03-30,61600,59000,61600,4.2,7
21,2022-03-31,62400,58200,58500,-5.0,8
21,2022-04-01,59800,57600,57600,-1.5,14
21,2022-04-02,60500,58300,60400,4.9,22
21,2022-04-03,60500,58300,60400,0.0,0
21,2022-04-04,60000,59900,59900,-0.8,18
21,2022-04-05,61900,60000,61900,3.3,13
21,2022-04-06,60700,60600,60600,-2.1,3
21,2022-04-07,61500,59600,60500,-0.2,4
21,2022-04-08,61500,59800,59800,-1.2,5
21,2022-04-09,60900,59900,59900,0.2,3
21,2022-04-10,61000,60000,61000,1.8,6
21,2022-04-11,61000,57000,57300,-6.1,11
21,2022-04-12,57500,56400,56400,-1.6,8
21,2022-04-13,60800,59400,60800,7.8,9
21,2022-04-14,60500,60500,60500,-0.5,1
21,2022-04-15,60000,57400,57400,-5.1,4
21,2022-04-16,58000,58000,58000,1.0,4
21,2022-04-17,60300,60300,60300,4.0,2
21,2022-04-18,60400,60200,60400,0.2,2
21,2022-04-19,60300,60300,60300,-0.2,1
21,2022-04-20,60200,51600,51700,-14.3,51
21,2022-04-21,52900,51000,51200,-1.0,37
21,2022-04-22,53200,51300,51300,0.2,11
21,2022-04-23,56300,51500,56300,9.7,5
21,2022-04-24,56300,51500,56300,0.0,0
21,2022-04-25,57900,55000,57900,2.8,10
21,2022-04-26,59300,54000,54300,-6.2,7
21,2022-04-27,54300,54300,54300,0.0,3
21,2022-04-28,54500,54400,54400,0.2,3
21,2022-04-29,57700,57700,57700,6.1,2
21,2022-04-30,54300,53800,53800,-6.8,9
21,2022-05-01,55000,53400,53400,-0.7,5
21,2022-05-02,55000,53400,53400,0.0,0
21,2022-05-03,58900,55000,58900,10.3,14
21,2022-05-04,58000,58000,58000,-1.5,1
21,2022-05-05,58000,58000,58000,0.0,0
21,2022-05-06,58000,58000,58000,0.0,0
21,2022-05-07,58000,58000,58000,0.0,0
21,2022-05-08,58900,55800,58900,1.6,6
21,2022-05-09,55800,55700,55700,-5.4,3
21,2022-05-10,52100,51700,51700,-7.2,5
21,2022-05-11,53900,53900,53900,4.3,1
21,2022-05-12,57500,53200,53200,-1.3,5
21,2022-05-13,54800,52500,54800,3.0,7
21,2022-05-14,57000,52700,57000,4.0,5
21,2022-05-15,53500,53500,53500,-6.1,1
21,2022-05-16,53500,53500,53500,0.0,0
21,2022-05-17,53500,53500,53500,0.0,0
21,2022-05-18,54000,54000,54000,0.9,6
21,2022-05-19,54000,54000,54000,0.0,0
21,2022-05-20,56900,56700,56900,5.4,3
21,2022-05-21,56900,56800,56900,0.0,2
21,2022-05-22,56900,56800,56900,0.0,0
21,2022-05-23,56900,56800,56900,0.0,0
21,2022-05-24,56900,56800,56900,0.0,0
21,2022-05-25,54300,53500,53500,-6.0,9
21,2022-05-26,56900,53700,53700,0.4,2
21,2022-05-27,56800,53300,56800,5.8,9
21,2022-05-28,56500,56000,56500,-0.5,2
21,2022-05-29,57600,56600,57600,1.9,19
21,2022-05-30,57700,57300,57300,-0.5,2
21,2022-05-31,57500,55000,55000,-4.0,2
21,2022-06-01,57500,54300,54300,-1.3,14
21,2022-06-02,59200,57800,57800,6.4,21
21,2022-06-03,59000,55800,59000,2.1,5
21,2022-06-04,59000,58900,59000,0.0,2
21,2022-06-05,59000,59000,59000,0.0,3
21,2022-06-06,59000,56800,56800,-3.7,8
21,2022-06-07,59000,56600,59000,3.9,12
21,2022-06-08,59000,56700,58900,-0.2,4
21,2022-06-09,59000,59000,59000,0.2,9
21,2022-06-10,59000,58800,58800,-0.3,3
21,2022-06-11,57600,57600,57600,-2.0,1
21,2022-06-12,59900,57500,59900,4.0,13
21,2022-06-13,59900,57500,59900,0.0,0
21,2022-06-14,59900,59300,59900,0.0,4
21,2022-06-15,59900,59300,59900,0.0,15
21,2022-06-16,60000,60000,60000,0.2,4
21,2022-06-17,60400,60000,60400,0.7,2
21,2022-06-18,60400,60000,60400,0.0,0
21,2022-06-19,60800,60700,60800,0.7,4
21,2022-06-20,61900,60000,60000,-1.3,7
21,2022-06-21,62500,60000,60000,0.0,29
21,2022-06-22,62500,60000,60000,0.0,0
21,2022-06-23,62900,62900,62900,4.8,1
21,2022-06-24,64200,62900,64200,2.1,3
21,2022-06-25,64300,60200,60200,-6.2,3
21,2022-06-26,64200,64200,64200,6.6,1
21,2022-06-27,64300,60800,61000,-5.0,3
21,2022-06-28,64900,61300,64600,5.9,6
21,2022-06-29,64600,62300,62300,-3.6,6
